OTU_id;#OTU ID;0;1;2;3;4;5;6;7;8;9
OTU114;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Pontibacillus";0;0;0;0;0;0;0;0;0;0
OTU115;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Virgibacillus";0;0;0;0;0;0;0;0;0;0
OTU116;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU117;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Brochothrix";0;0;0;0;0;0;0;0;0;0
OTU118;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Ammoniphilus";0;0;0;0;0;0;0;0;0;0
OTU119;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus";0;0;0;0;0;0;0;0;0;0
OTU120;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU121;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Kurthia";0;0;0;0;0;0;0;0;0;0
OTU122;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus";0;0;0;0;0;0;0;0;0;0
OTU123;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Marinibacillus";0;0;0;0;0;0;0;0;0;0
OTU124;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus";0;0;0;4;1;1;1;0;0;0
OTU125;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina";0;0;0;0;0;0;0;0;0;0
OTU126;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Ureibacillus";0;0;0;0;0;0;0;0;0;0
OTU127;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU128;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Jeotgalicoccus";0;0;0;0;0;0;0;0;0;0
OTU129;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Macrococcus";0;0;0;0;0;0;0;0;0;0
OTU130;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Salinicoccus";0;0;0;0;0;1;0;0;0;0
OTU131;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus";0;0;0;0;0;0;0;6;0;0
OTU132;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__;g__";0;0;0;0;0;0;0;0;0;0
OTU133;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia";0;0;0;0;0;0;0;1;2;0
OTU134;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus";0;0;0;0;0;0;0;0;0;0
OTU135;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Facklamia";0;0;0;0;0;0;0;0;0;0
OTU136;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__";0;0;0;2;2;0;1;1;0;2
OTU137;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alloiococcus";0;0;0;0;0;0;0;0;0;0
OTU138;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium";0;0;0;0;0;0;0;0;0;0
OTU139;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Desemzia";0;0;0;0;0;0;0;0;0;0
OTU140;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella";3;3;40;404;195;159;127;250;149;99
OTU141;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Marinilactibacillus";0;0;0;0;0;0;0;0;0;0
OTU142;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Trichococcus";0;0;0;0;0;0;0;0;0;0
