gene 2h 6h 16h 24h 48h 72h
HIF1A 86.2650419421 29.5631900364 17.8178587942 52.2564086073 72.5172422424 61.2794908256
HIF1A 81.0248400694 30.0127067507 17.0483807602 51.5502197612 75.8995558817 60.0933768428
RBMX 106.114359987 67.9475980177 28.6645789548 62.9290278531 81.645700731 65.4173291239
PTD004 90.8350027455 86.443949531 36.3405692831 35.4879025726 39.9998892321 37.9945137096
CLN5 65.5695703215 128.571949973 131.970700507 181.690688686 81.0252871213 60.1828178285
PDCD4 90.6430433044 107.525550836 134.589774789 234.420303307 150.585463006 188.606116448
TRIP12 108.953640315 46.2044118261 30.7967928307 65.9100937649 69.8162351222 56.5686973323
RPA2 80.9616356002 97.201498411 54.0207549489 116.016618961 54.0269455634 39.4414431349
OSAP 41.0192408791 55.1090866505 80.855509528 186.973041794 110.811828986 110.127200305
TPR 71.0077327039 65.3380399183 35.4820255566 101.261031745 72.9713481502 56.2021584702
EDIL3 57.6989241962 103.578853954 92.7447789574 39.5229417796 20.6513300271 6.03804299462
I_931506 88.8153485889 113.512907655 159.063465254 146.474875227 135.562944558 179.874265392
RRAD 370.776724331 347.07383976 733.603889506 487.638027127 1196.6113797 949.415255088
IL1B 164.617800259 164.951578866 53.2579773305 94.3357259132 340.902877013 416.994917316
KTN1 58.3939572776 80.8107916719 26.0152827571 42.7100266411 47.6911682913 33.1664793716
SNFT 115.23707229 155.101569034 89.5998766951 48.7381039044 63.8689565504 40.7342033953
HUMGT198A 90.7225041722 152.459947666 91.249338601 103.102652851 52.5722144649 35.7114759836
HSPA5 280.733541391 136.395552061 169.988426124 192.555254857 102.085470667 98.8734905504
FLJ20989 104.435918402 137.216310345 133.567210394 134.967467351 71.6974042347 51.9705177188
PTPRK 121.888792305 45.4698763513 15.1552705261 11.7951839402 27.5171527197 10.1140994955
MEST 56.1845656848 42.6480267142 21.3012222378 47.1919094432 23.7097069426 14.6521989951
MAP1A 178.800651461 83.1655076385 136.570079695 249.917607237 238.019131479 220.541135125
KIAA0438 80.3967013259 42.06272736 44.7005310473 116.612612426 89.8524021532 80.595655073
DIAPH3 108.28481477 73.2124584155 67.4355385187 31.7229179983 57.3041436569 65.6609667274
UHRF1 72.0128955887 54.9269457056 23.1299492398 48.7916349097 28.1867358664 10.3498906976
KEO4 91.4079641294 97.3397783765 54.7491909986 72.8226182399 44.000967701 25.9088136868
UQCR 41.3192590018 118.329163068 105.717395744 132.938122702 92.1244118021 106.888631386
I_1221686 87.507597332 26.0686013748 35.2426012412 68.4832144812 64.6175877397 42.8250974106
BRE 194.632962547 121.361082491 76.3981925452 27.2569395426 48.290268995 40.0495749676
FLJ20701 135.029256052 64.1268947675 47.2415922876 51.8594387217 65.5342509114 51.7870087134
APG12L 67.5510614809 124.245199241 100.689144649 102.454818529 63.7256585742 51.4631130234
FDXR 254.397079772 304.504808877 610.536732278 543.222425252 890.306627259 842.8447654
DKFZp547A023 43.548976116 25.2777131619 58.9064990931 132.666402009 134.784952791 113.674659606
FLJ20311 62.2349873156 68.3790459498 21.1188962747 33.6921712441 23.6164206043 11.2073508196
ACTN1 159.803944912 74.4851858169 57.4826929943 46.742103914 76.0629441916 87.4270953336
BAZ1B 96.9253536475 49.6878086453 38.5855593813 76.9470842623 65.8732444528 50.7277652217
MSH6 84.7249678869 77.1853605425 57.0912238713 132.486440987 65.6057665003 43.4743090606
EIF4A2 56.5592305694 91.3587711805 62.7093053233 211.486783143 152.649802609 132.118239071
GBF1 157.874768225 51.4218988327 38.8009349171 81.4709485832 110.31342051 114.218224146
CDKN1A 310.629474866 581.618748367 559.168622581 487.342384446 1269.74835431 1011.24907367
FLJ23251 78.943277381 113.05623882 80.6619814562 160.538369263 99.9336803301 94.2410209077
HIF1A 86.1047970466 31.5358208739 16.806083007 51.3662526171 74.9908712499 60.0135269263
