gene;2h;6h;16h;24h;48h;72h;;;;;;;;;
SEMA3C;93,23;64,71;31,43;32,62;55,17;32,39;;;;;;;;;
SMARCA4;170,51;75,29;53,75;78,92;101,37;92,21;;;;;;;;;
I_929608;73,75;65,79;68,04;136,61;94,77;58,87;;;;;;;;;
DNAJA2;117,22;100,52;118,24;146,38;166,69;149,36;;;;;;;;;
P5326;166,06;329,00;249,82;98,90;145,65;165,37;;;;;;;;;
TMSNB;39,70;120,18;80,93;97,86;51,18;31,37;;;;;;;;;
NXF1;179,10;368,87;314,35;166,17;142,25;107,02;;;;;;;;;
DDX5;64,38;97,25;55,40;119,23;76,52;61,69;;;;;;;;;
CDC6;97,19;149,61;91,42;108,45;50,15;27,75;;;;;;;;;
C20orf111;87,44;210,89;181,09;139,75;104,99;95,41;;;;;;;;;
MGC5528;66,09;67,37;43,06;109,69;80,09;47,26;;;;;;;;;
I_1000372;89,46;159,46;185,81;158,49;97,86;74,13;;;;;;;;;
PTPN12;61,11;22,26;21,11;58,21;60,24;42,52;;;;;;;;;
TGFBI;65,63;54,89;57,71;67,60;46,73;27,16;;;;;;;;;
RAGA;68,18;85,27;127,93;152,49;123,03;101,67;;;;;;;;;
I_1100005;110,69;183,70;243,16;165,01;105,37;81,80;;;;;;;;;
P450RAI-2;112,42;96,19;67,26;66,60;151,84;110,78;;;;;;;;;
COL13A1;57,42;73,20;29,84;15,97;15,20;10,35;;;;;;;;;
RTN4;106,36;79,83;51,83;42,32;36,95;36,86;;;;;;;;;
SP192;92,14;41,01;50,81;100,10;92,89;75,04;;;;;;;;;
LOC51189;80,76;122,76;115,70;144,01;100,86;132,07;;;;;;;;;
FLJ12118;102,15;95,14;75,84;46,52;59,26;51,08;;;;;;;;;
KIF1B;96,74;38,77;49,75;99,71;136,36;95,27;;;;;;;;;
EZH2;49,28;48,39;33,11;87,96;57,19;27,74;;;;;;;;;
TMEFF1;71,55;75,30;33,03;54,78;61,45;37,50;;;;;;;;;
ANKT;49,23;49,73;24,43;49,94;33,09;15,00;;;;;;;;;
I_959798;69,05;135,71;121,59;132,63;103,24;71,60;;;;;;;;;
CTSK;53,92;121,84;106,74;208,16;111,67;88,24;;;;;;;;;
CDS1;84,56;76,38;82,36;135,45;137,29;111,78;;;;;;;;;
CPS1;105,74;97,28;75,85;64,17;68,27;55,35;;;;;;;;;
DKFZp762K2015;66,13;45,67;56,17;105,97;83,45;67,85;;;;;;;;;
CASP3;53,44;138,54;73,86;161,18;113,16;79,83;;;;;;;;;
LIMK2;76,61;103,88;159,47;199,74;165,12;143,27;;;;;;;;;
KATII;57,40;111,56;88,26;171,78;113,70;74,87;;;;;;;;;
PLRG1;90,10;143,31;137,12;164,85;112,17;111,36;;;;;;;;;
FLJ22055;124,34;142,96;194,95;237,47;184,73;194,85;;;;;;;;;
CPR8;76,13;105,26;136,68;301,04;148,47;114,57;;;;;;;;;
DREV1;106,86;91,96;56,09;55,13;66,33;64,81;;;;;;;;;
H2AFN;115,66;128,44;153,12;120,97;195,34;349,27;;;;;;;;;
NRIP1;24,16;18,95;28,84;69,13;55,25;37,42;;;;;;;;;
CCNG2;58,21;79,06;132,24;193,69;101,95;101,05;;;;;;;;;
KIAA0992;115,09;61,86;49,90;69,38;89,13;73,12;;;;;;;;;
MAP2K3;156,86;95,35;70,02;67,14;98,92;89,34;;;;;;;;;
PUM2;54,10;24,96;30,16;86,02;72,82;50,66;;;;;;;;;
SPP1;81,77;151,44;149,72;120,20;154,68;181,12;;;;;;;;;
I_1152259;137,75;50,93;86,18;118,29;144,65;133,55;;;;;;;;;
RISC;63,16;116,09;109,61;146,43;143,87;86,34;;;;;;;;;
I_931672;104,83;59,81;81,66;125,03;104,87;91,30;;;;;;;;;
CEP250;102,72;61,19;64,32;109,10;110,14;100,43;;;;;;;;;
CCNA2;63,50;44,85;36,79;47,11;29,22;16,30;;;;;;;;;
CCNA2;62,38;46,92;39,21;46,54;28,84;15,43;;;;;;;;;
NDUFS5;96,20;123,32;128,89;146,99;155,05;199,33;;;;;;;;;
I_958969;115,71;86,40;36,03;34,50;44,52;30,42;;;;;;;;;
RRM2;86,46;63,72;31,81;47,95;46,16;24,73;;;;;;;;;
NDUFA2;65,32;132,81;125,60;148,13;110,43;141,78;;;;;;;;;
DEGS;95,99;120,02;109,98;111,18;71,11;65,34;;;;;;;;;
FLJ21034;90,95;85,45;61,87;45,09;79,03;58,74;;;;;;;;;
C4orf1;65,54;73,80;26,48;58,34;59,71;45,64;;;;;;;;;
H2BFN;137,02;121,90;125,50;76,16;118,13;180,28;;;;;;;;;
SKIL;73,88;142,31;125,73;215,57;78,84;112,72;;;;;;;;;
LOC51626;57,60;92,34;71,75;144,57;93,70;72,00;;;;;;;;;
PPP1R16A;59,62;66,38;82,81;133,76;74,44;66,05;;;;;;;;;
FLJ20364;34,32;52,88;27,98;58,42;38,54;28,64;;;;;;;;;
CAP350;57,97;25,21;55,89;97,60;76,73;55,76;;;;;;;;;
DDR1;122,23;94,55;127,99;232,42;161,03;359,43;;;;;;;;;
DKFZP566B0846;82,12;33,18;43,14;85,25;90,52;66,08;;;;;;;;;
TIMELESS;110,20;103,35;75,53;118,75;76,60;42,36;;;;;;;;;
I_930406;54,06;69,95;114,67;232,83;89,55;110,68;;;;;;;;;
LGALS8;89,05;107,60;105,23;148,43;81,36;79,27;;;;;;;;;
TSSC3;239,93;440,18;362,21;117,16;169,39;104,05;;;;;;;;;
FLJ10156;76,79;110,14;65,35;61,57;50,37;23,81;;;;;;;;;
C20orf16;94,32;127,41;178,46;264,27;286,07;318,78;;;;;;;;;
SLC25A4;68,99;151,85;122,70;223,21;125,54;105,53;;;;;;;;;
AP1S2;52,88;106,28;65,23;77,10;42,89;28,83;;;;;;;;;
DOC1;80,97;94,39;98,48;125,03;112,54;154,10;;;;;;;;;
POH1;81,80;61,23;27,90;56,66;44,60;34,05;;;;;;;;;
MRPS28;62,64;102,21;45,06;56,36;50,76;42,54;;;;;;;;;
TSGA;31,41;43,62;42,80;112,57;68,88;47,46;;;;;;;;;
SERPINE2;109,59;111,26;121,53;77,24;108,71;123,15;;;;;;;;;
I_959992;63,91;50,38;48,87;104,73;82,60;64,88;;;;;;;;;
CASP1;96,97;146,52;153,54;278,21;224,72;230,51;;;;;;;;;
GPC6;102,60;104,71;95,05;30,70;55,21;34,87;;;;;;;;;
TPBG;59,30;109,60;96,80;95,85;51,92;43,53;;;;;;;;;
SPTAN1;133,61;61,80;58,46;113,81;170,22;141,98;;;;;;;;;
I_1000349;68,33;102,83;115,32;104,22;101,70;73,54;;;;;;;;;
MPPE1;82,72;144,67;136,43;179,79;102,86;94,28;;;;;;;;;
GPR48;65,81;28,24;45,15;115,33;85,07;58,63;;;;;;;;;
S100A3;109,48;117,95;118,52;152,19;223,15;360,14;;;;;;;;;
I_1152275;80,67;79,57;79,31;118,18;131,99;142,08;;;;;;;;;
CAPZB;115,66;94,69;73,04;37,76;47,07;41,47;;;;;;;;;
ORC6L;83,44;166,14;111,48;97,21;70,99;48,04;;;;;;;;;
BUB3;78,00;58,90;47,42;76,46;66,60;55,90;;;;;;;;;
WNT5B;134,67;90,04;87,80;60,83;78,33;80,46;;;;;;;;;
GNAI1;89,83;71,72;91,25;168,77;132,94;102,59;;;;;;;;;
MGC12837;91,42;92,73;111,09;184,66;99,41;136,04;;;;;;;;;
STCH;79,76;135,31;115,99;149,49;93,23;78,92;;;;;;;;;
CTPS;113,47;73,91;49,91;70,47;75,90;48,76;;;;;;;;;
SRM;245,86;157,28;186,82;97,49;119,16;161,15;;;;;;;;;
MADH2;115,07;73,33;51,99;67,09;76,81;73,64;;;;;;;;;
DDB2;95,50;102,97;138,88;183,86;232,35;194,62;;;;;;;;;
LMO2;50,49;48,75;43,52;116,83;56,35;50,94;;;;;;;;;
TFG;85,34;52,26;49,00;121,12;106,20;78,79;;;;;;;;;
STCH;75,34;125,17;120,17;152,75;87,69;79,86;;;;;;;;;
ITGB5;99,61;89,26;70,46;52,53;60,71;44,94;;;;;;;;;
FLJ12890;82,99;48,88;42,81;102,63;84,02;65,46;;;;;;;;;
CHMP1,5;94,23;233,28;219,40;198,32;146,95;141,54;;;;;;;;;
I_959144;81,57;38,03;44,76;92,37;100,39;68,56;;;;;;;;;
DKFZP564J157;127,87;114,03;136,42;188,59;201,52;174,42;;;;;;;;;
I_964137;136,10;103,29;128,69;130,02;208,09;176,15;;;;;;;;;
NMB;78,06;133,59;166,91;247,70;177,88;140,75;;;;;;;;;
IFI44;60,03;78,87;42,79;95,87;52,17;36,22;;;;;;;;;
HIRA;166,01;87,13;48,06;32,81;68,99;49,90;;;;;;;;;
YWHAZ;93,18;77,29;43,76;63,94;69,87;57,10;;;;;;;;;
SPP1;85,44;151,57;157,29;120,15;163,09;196,94;;;;;;;;;
ODC1;185,02;298,87;150,46;123,12;147,03;111,30;;;;;;;;;
NUP107;51,87;64,09;32,12;76,66;52,13;33,13;;;;;;;;;
FLJ13449;41,05;130,43;85,06;102,16;63,46;46,10;;;;;;;;;
NUDT5;103,05;111,98;78,12;114,20;174,90;164,90;;;;;;;;;
I_937761;65,98;37,79;53,88;120,27;115,35;75,88;;;;;;;;;
I_957301;39,83;112,46;57,27;91,54;57,10;27,08;;;;;;;;;
TNFRSF10C;134,95;119,84;133,33;187,54;299,33;248,25;;;;;;;;;
FLJ10156;74,24;108,44;65,05;61,59;52,08;22,88;;;;;;;;;
KIF13B;122,40;44,14;34,89;55,87;71,63;52,55;;;;;;;;;
FBL;117,26;94,36;72,01;75,67;70,18;57,03;;;;;;;;;
WNT5A;67,85;42,83;27,17;57,58;50,30;31,52;;;;;;;;;
HSPA2;157,23;384,70;269,76;176,21;105,63;86,86;;;;;;;;;
UGCGL2;41,43;95,01;72,09;64,02;40,95;31,63;;;;;;;;;
AD-017;66,32;62,65;66,85;129,18;86,51;71,32;;;;;;;;;
IMMP2L;69,23;70,94;37,37;32,38;41,24;18,83;;;;;;;;;
FLJ10773;103,44;55,86;25,55;43,55;53,80;39,46;;;;;;;;;
DDX18;83,87;82,16;56,70;112,44;98,10;80,62;;;;;;;;;
COL13A1;57,53;72,31;30,21;15,79;13,02;13,42;;;;;;;;;
QSCN6;92,23;105,96;124,34;145,24;96,82;82,77;;;;;;;;;
DHRS2;85,91;92,66;122,21;149,92;148,53;98,21;;;;;;;;;
FZD7;134,14;227,61;169,93;227,39;115,56;80,95;;;;;;;;;
ISGF3G;73,95;63,65;138,54;224,99;151,36;148,71;;;;;;;;;
SENP2;107,69;54,99;73,29;114,02;102,80;86,99;;;;;;;;;
MYOZ2;147,28;150,31;84,42;52,94;102,48;101,49;;;;;;;;;
C20orf88;82,56;93,36;44,52;34,76;42,48;26,84;;;;;;;;;
AP2B1;125,82;102,31;101,04;63,90;115,58;134,42;;;;;;;;;
IGFBP3;22,85;30,29;15,75;29,91;12,88;11,34;;;;;;;;;
CASP7;59,61;89,72;108,00;178,57;129,03;96,88;;;;;;;;;
I_1000133;94,76;42,14;37,42;55,72;65,30;43,64;;;;;;;;;
FLJ21148;144,96;325,90;190,73;191,99;132,65;167,11;;;;;;;;;
NUP88;105,77;89,07;33,55;55,85;67,31;60,33;;;;;;;;;
FLJ10462;95,65;93,90;54,45;38,74;56,48;40,97;;;;;;;;;
PROL2;165,42;131,79;231,28;377,41;346,11;409,47;;;;;;;;;
FLJ22202;162,72;93,54;76,64;38,12;67,14;59,02;;;;;;;;;
KIAA0697;126,99;26,72;50,05;85,60;90,35;107,44;;;;;;;;;
PDCD8;125,78;107,68;71,25;132,06;159,88;155,42;;;;;;;;;
ZF;36,75;83,63;48,01;71,70;59,17;28,59;;;;;;;;;
ADCY3;106,68;103,97;60,00;62,70;64,39;39,72;;;;;;;;;
FLJ22116;56,09;55,49;58,29;100,57;92,48;71,90;;;;;;;;;
APG12L;72,86;126,02;104,46;102,03;59,47;55,90;;;;;;;;;
KIAA1449;67,48;73,44;94,66;135,38;109,37;133,84;;;;;;;;;
LOC51321;94,19;100,30;92,95;125,86;163,70;176,08;;;;;;;;;
GPX1;93,05;155,97;180,71;211,28;220,53;224,10;;;;;;;;;
KIAA0483;73,09;64,46;69,82;113,34;130,56;104,83;;;;;;;;;
PTPRN2;54,01;112,55;84,44;73,57;56,67;53,43;;;;;;;;;
TDPGD;60,83;106,12;73,38;155,60;137,29;94,89;;;;;;;;;
UBL5;46,66;109,28;90,95;128,60;75,18;101,50;;;;;;;;;
FLJ11000;96,78;100,34;165,06;211,48;100,55;127,71;;;;;;;;;
MGC4701;39,92;200,12;96,88;128,90;85,45;53,30;;;;;;;;;
ARHE;33,58;128,91;77,15;75,52;127,07;88,74;;;;;;;;;
MATR3;58,83;75,59;43,11;83,37;79,50;59,76;;;;;;;;;
KIAA0738;137,81;90,91;109,08;146,41;119,61;132,61;;;;;;;;;
I_929363;86,87;83,84;40,35;60,18;76,99;68,44;;;;;;;;;
PIGK;41,13;113,77;83,46;78,51;69,92;47,75;;;;;;;;;
CDC2;30,60;56,14;27,88;45,86;24,28;16,22;;;;;;;;;
FLJ10569;89,39;70,31;65,41;155,06;129,93;115,69;;;;;;;;;
PPP6C;85,85;55,28;38,60;80,35;106,08;77,92;;;;;;;;;
TCEA2;108,90;133,01;154,55;217,99;186,47;207,36;;;;;;;;;
CTSF;68,69;122,30;113,34;178,35;154,83;139,30;;;;;;;;;
PCSK5;52,74;48,32;36,11;51,50;44,61;19,93;;;;;;;;;
ASNS;191,89;257,01;418,03;217,12;193,99;207,49;;;;;;;;;
HTGN29;54,55;113,33;95,57;137,03;92,37;59,29;;;;;;;;;
IFI30;161,57;191,78;264,64;248,36;287,29;278,33;;;;;;;;;
IDN3;80,42;26,12;41,87;76,59;72,33;63,49;;;;;;;;;
HCS;115,91;175,71;127,27;98,73;86,02;84,88;;;;;;;;;
I_1109532;124,25;30,47;41,13;32,26;48,61;42,63;;;;;;;;;
MGC5528;74,37;67,33;45,81;112,92;74,19;47,03;;;;;;;;;
DUSP5;54,68;69,19;45,14;67,56;128,30;94,63;;;;;;;;;
RPL28;213,73;109,20;157,09;120,15;142,08;185,15;;;;;;;;;
LMO2;52,58;52,62;39,13;112,55;60,45;46,54;;;;;;;;;
SLIT2;124,48;114,41;104,57;89,51;75,93;90,24;;;;;;;;;
EBNA1BP2;96,20;172,52;140,41;132,98;86,12;81,44;;;;;;;;;
AIBP63;126,58;98,61;96,56;163,91;119,23;133,10;;;;;;;;;
LOC51270;77,82;69,91;39,32;52,50;33,08;28,04;;;;;;;;;
C5orf6;152,90;261,85;295,80;221,53;147,94;139,46;;;;;;;;;
TOMM20;92,90;100,57;71,38;135,42;116,60;77,37;;;;;;;;;
PPP2R5E;87,48;34,35;23,14;53,19;60,10;44,50;;;;;;;;;
LOC56920;113,80;90,39;97,79;75,44;94,18;104,32;;;;;;;;;
AKR1B10;88,33;137,42;97,49;103,18;242,51;258,58;;;;;;;;;
GSTT2;91,70;254,28;221,75;163,52;82,58;93,43;;;;;;;;;
CNN3;79,28;82,58;41,38;69,32;55,73;49,29;;;;;;;;;
MGC5309;63,54;99,42;94,24;118,38;73,79;52,13;;;;;;;;;
SLC25A12;80,43;54,35;50,12;98,56;86,45;80,25;;;;;;;;;
SERPINA1;122,07;109,73;101,57;112,85;204,99;274,52;;;;;;;;;
PMAIP1;261,95;1108,79;431,22;241,51;218,59;195,89;;;;;;;;;
PLAB;625,18;753,49;1451,58;1265,14;3167,01;1541,01;;;;;;;;;
LOC58486;32,24;98,87;79,99;126,83;96,16;73,29;;;;;;;;;
FZD2;171,05;147,71;167,24;111,22;82,55;92,96;;;;;;;;;
FLJ11026;86,01;45,59;28,74;54,73;62,93;32,53;;;;;;;;;
TMSNB;39,93;121,63;105,58;97,50;51,34;32,12;;;;;;;;;
PCDH9;114,42;200,30;182,07;175,85;106,70;97,04;;;;;;;;;
I_959321;65,88;117,32;99,67;124,57;82,03;79,93;;;;;;;;;
UBE2E3;60,98;60,73;23,42;38,09;37,98;27,41;;;;;;;;;
I_928737;74,63;119,41;110,98;122,80;58,16;37,31;;;;;;;;;
ATP2B1;132,19;56,78;27,97;39,76;56,35;52,65;;;;;;;;;
KLF5;146,94;230,60;182,29;310,19;230,32;188,88;;;;;;;;;
H2A_S;116,55;112,92;129,71;98,15;141,28;262,75;;;;;;;;;
H1F0;97,68;83,77;176,57;187,34;151,40;115,57;;;;;;;;;
KNSL4;82,20;84,69;97,16;115,49;71,71;64,74;;;;;;;;;
CHAF1A;88,00;53,90;60,65;90,07;48,46;39,16;;;;;;;;;
MGC5528;69,62;69,75;49,99;111,05;74,14;45,36;;;;;;;;;
NDUFS1;93,15;90,90;55,33;119,41;115,38;95,08;;;;;;;;;
I_1151920;80,08;155,24;144,38;143,62;89,93;95,57;;;;;;;;;
MAN2A2;87,10;122,26;124,69;155,18;97,78;88,73;;;;;;;;;
STCH;73,23;133,30;112,71;154,39;87,22;76,50;;;;;;;;;
EREG;90,38;48,87;32,26;74,34;149,54;109,24;;;;;;;;;
MAP3K7IP2;72,23;23,90;32,47;66,06;73,01;54,83;;;;;;;;;
NAP1L3;76,19;160,23;205,22;271,38;179,58;150,08;;;;;;;;;
PA26;96,70;418,70;411,97;315,00;273,03;723,72;;;;;;;;;
HNRPM;99,30;81,71;55,09;109,78;101,18;52,91;;;;;;;;;
I_961562;133,85;66,59;94,10;99,69;150,59;128,03;;;;;;;;;
CCNDBP1;73,19;124,70;122,28;263,05;184,53;148,40;;;;;;;;;
FIBP;135,97;111,40;127,95;146,75;169,60;210,81;;;;;;;;;
I_929203;83,18;96,59;100,30;201,91;108,07;156,06;;;;;;;;;
COL13A1;54,08;71,87;27,44;15,66;13,61;13,16;;;;;;;;;
FLJ10156;77,88;110,03;65,93;61,42;48,38;24,43;;;;;;;;;
SNRPA;154,20;133,92;114,42;79,35;74,65;91,67;;;;;;;;;
MGC3038;112,33;171,80;159,16;105,89;90,58;80,35;;;;;;;;;
PIST;48,79;55,76;39,04;116,34;111,17;75,10;;;;;;;;;
MCJ;73,69;116,07;75,14;47,67;44,59;31,80;;;;;;;;;
RGS20;76,47;81,93;38,86;46,83;39,86;32,79;;;;;;;;;
MAP4;157,51;76,59;49,61;40,07;54,10;57,16;;;;;;;;;
I_963732;59,31;89,96;103,68;148,53;126,44;99,37;;;;;;;;;
I_960741;114,42;253,44;176,10;140,67;138,22;95,90;;;;;;;;;
FLJ10290;120,08;205,52;181,01;172,34;146,67;134,52;;;;;;;;;
LOC114659;76,70;73,89;88,12;148,96;108,92;105,22;;;;;;;;;
HTATSF1;95,39;178,19;108,28;193,01;162,15;126,13;;;;;;;;;
BNIP3L;35,44;35,62;17,95;43,61;33,60;21,06;;;;;;;;;
ISG15;145,68;152,05;252,28;284,33;330,40;433,67;;;;;;;;;
FLJ12442;147,11;110,96;149,72;59,52;45,05;73,97;;;;;;;;;
PHF3;66,10;36,88;62,75;109,30;79,57;70,49;;;;;;;;;
NEDD4L;89,83;45,54;31,26;47,79;62,47;36,42;;;;;;;;;
B3GNT6;128,12;134,50;149,69;164,81;95,30;102,56;;;;;;;;;
I_958920;83,93;77,33;100,73;51,20;107,64;105,99;;;;;;;;;
JRKL;50,48;156,97;90,61;143,31;120,49;79,00;;;;;;;;;
GEM;35,71;92,54;34,65;50,10;77,23;43,60;;;;;;;;;
I_959029;141,99;71,13;61,24;71,77;76,56;80,41;;;;;;;;;
MGC14353;54,06;120,14;88,06;140,97;105,58;99,21;;;;;;;;;
ZFP103;111,20;210,12;241,86;281,75;174,29;129,69;;;;;;;;;
I_957301;45,25;116,02;63,91;91,51;54,25;28,54;;;;;;;;;
TNFAIP6;116,75;539,59;161,08;150,55;102,52;138,74;;;;;;;;;
STCH;79,76;140,01;117,83;152,85;93,11;81,99;;;;;;;;;
DXS9879E;107,24;143,43;152,40;196,97;245,32;212,03;;;;;;;;;
KIAA0052;100,72;47,86;28,06;57,23;67,83;58,64;;;;;;;;;
PARG;67,06;33,29;41,59;99,27;98,51;63,62;;;;;;;;;
RNUT1;91,85;49,78;70,47;113,70;84,43;72,39;;;;;;;;;
D123;105,22;85,81;52,83;88,55;100,89;87,63;;;;;;;;;
DKFZP434O1427;65,53;130,34;111,28;155,03;92,21;111,22;;;;;;;;;
KRT18;103,87;109,73;109,17;149,35;187,42;224,82;;;;;;;;;
POLI;46,71;60,26;58,42;155,42;89,71;72,60;;;;;;;;;
HEL308;64,35;103,46;96,75;152,33;132,64;109,45;;;;;;;;;
ZNF216;78,27;85,09;88,61;148,91;114,51;93,80;;;;;;;;;
P2RX2;122,63;104,38;96,73;42,42;93,51;83,10;;;;;;;;;
FBXL5;67,73;39,33;56,80;92,10;119,91;98,42;;;;;;;;;
RBPMS;151,19;54,63;46,27;55,23;65,00;58,67;;;;;;;;;
REPS1;117,11;37,71;43,55;77,22;79,85;57,04;;;;;;;;;
NFKBIE;143,44;219,58;330,02;160,52;133,32;215,55;;;;;;;;;
MGC5528;65,21;67,33;45,79;110,02;77,34;48,55;;;;;;;;;
SLC2A1;42,51;25,59;22,37;62,37;53,18;32,21;;;;;;;;;
APG-1;94,49;106,72;117,34;159,45;199,14;153,96;;;;;;;;;
CPR8;66,65;103,09;118,38;307,84;139,28;108,13;;;;;;;;;
NIP30;100,85;85,30;60,09;119,47;89,80;50,44;;;;;;;;;
KIAA0470;77,94;29,12;38,03;50,54;60,68;46,09;;;;;;;;;
H1FX;192,90;165,02;292,22;132,61;90,35;113,26;;;;;;;;;
IDH1;82,79;121,02;147,20;223,66;248,94;190,95;;;;;;;;;
C4ST;112,52;52,69;43,14;50,67;67,97;47,54;;;;;;;;;
ARHI;114,64;187,64;153,15;201,97;335,06;524,36;;;;;;;;;
HBXIP;44,32;117,90;92,52;126,43;72,58;55,90;;;;;;;;;
SLC25A13;110,56;35,08;38,31;48,99;72,27;59,92;;;;;;;;;
RGS2;172,51;205,88;103,77;194,69;100,15;101,92;;;;;;;;;
DDX32;70,24;39,53;58,09;124,42;90,51;95,54;;;;;;;;;
HPCAL1;179,11;81,74;90,18;30,29;48,54;71,10;;;;;;;;;
RP42;68,29;70,83;74,45;132,37;98,04;78,36;;;;;;;;;
FLJ20343;99,46;87,09;53,82;128,06;105,08;95,02;;;;;;;;;
MTA1;161,34;86,53;76,65;76,28;90,38;106,33;;;;;;;;;
GRN;111,24;98,94;144,22;169,03;163,55;154,43;;;;;;;;;
SEMA5A;111,46;89,00;94,58;49,50;86,08;86,95;;;;;;;;;
CPS1;97,17;85,45;65,45;56,24;74,94;57,39;;;;;;;;;
PMAIP1;258,66;1169,29;448,22;228,27;220,86;210,13;;;;;;;;;
I_964012;69,05;118,34;95,46;111,67;94,83;87,90;;;;;;;;;
MLF1;81,02;139,29;111,79;155,43;100,86;97,76;;;;;;;;;
CENPC1;52,82;58,02;64,86;111,90;74,69;56,81;;;;;;;;;
MGAT1;114,31;112,58;142,24;148,29;98,29;76,40;;;;;;;;;
POLD4;93,56;84,07;87,50;113,01;158,22;158,81;;;;;;;;;
ALDOC;73,81;77,09;104,00;148,31;101,92;77,90;;;;;;;;;
FLJ20220;74,40;19,46;22,94;38,02;39,80;24,62;;;;;;;;;
KIAA0332;68,97;60,95;42,60;114,70;94,32;60,78;;;;;;;;;
H2AFM;97,87;101,86;124,57;78,04;114,37;193,20;;;;;;;;;
FLJ11896;83,71;62,61;44,92;96,68;100,94;98,98;;;;;;;;;
HDCMA18P;43,40;58,16;47,80;106,81;80,29;55,57;;;;;;;;;
CEBPG;97,96;326,15;159,23;170,91;172,66;104,42;;;;;;;;;
FLJ20189;66,15;124,23;99,38;107,39;106,49;77,43;;;;;;;;;
LOC57147;58,13;80,39;110,39;157,90;134,66;97,11;;;;;;;;;
I_1100404;113,45;66,94;84,62;144,51;106,77;85,17;;;;;;;;;
CPR8;74,79;102,16;121,23;296,86;134,53;108,70;;;;;;;;;
OPTN;95,10;108,62;103,46;154,65;138,44;162,90;;;;;;;;;
IL1RN;130,39;105,00;111,67;110,28;172,29;241,10;;;;;;;;;
MIC2;69,86;92,94;83,80;92,27;60,41;41,11;;;;;;;;;
RAP1GDS1;109,65;94,53;42,17;36,39;43,85;43,46;;;;;;;;;
FLJ10156;80,88;109,98;69,06;62,20;48,91;22,33;;;;;;;;;
I_957301;43,97;109,20;60,46;92,51;57,17;31,19;;;;;;;;;
DOCK1;80,39;56,37;31,07;26,01;45,47;33,38;;;;;;;;;
HBP1;83,92;98,23;126,08;187,13;99,72;199,18;;;;;;;;;
CPR8;70,29;99,52;113,74;305,73;138,53;104,99;;;;;;;;;
I_931846;43,70;110,51;60,37;57,95;35,20;13,22;;;;;;;;;
FLJ12716;72,61;69,55;54,37;148,47;98,17;83,20;;;;;;;;;
M11S1;115,28;52,25;41,63;82,37;86,27;79,62;;;;;;;;;
FLJ10201;53,29;30,26;38,83;82,43;66,09;50,71;;;;;;;;;
GMPS;125,37;52,08;29,78;61,04;63,86;51,35;;;;;;;;;
RAP1;92,19;156,82;166,32;196,96;153,75;104,90;;;;;;;;;
PROCR;127,66;169,28;174,63;230,75;284,41;332,54;;;;;;;;;
MGC12760;34,23;101,32;72,19;121,46;70,75;46,57;;;;;;;;;
NCKAP1;81,52;66,61;20,54;47,21;69,49;48,16;;;;;;;;;
PSMA1;111,46;113,47;67,05;124,31;93,96;69,75;;;;;;;;;
DJ79P11,1;97,69;198,16;281,38;267,32;332,84;370,65;;;;;;;;;
QPCT;91,93;137,77;119,87;175,12;205,34;247,61;;;;;;;;;
MACF1;103,26;39,34;26,35;38,37;54,68;44,92;;;;;;;;;
I_1152256;130,74;46,32;39,29;47,05;31,11;31,69;;;;;;;;;
I_959769;83,48;75,94;81,09;47,75;78,16;80,19;;;;;;;;;
8D6A;94,78;139,24;141,30;139,63;93,90;80,15;;;;;;;;;
POLR3K;103,35;204,35;102,34;101,06;76,07;57,08;;;;;;;;;
SARS;170,82;141,65;176,73;168,36;208,54;238,51;;;;;;;;;
C7orf10;117,64;148,87;137,25;95,43;239,93;239,69;;;;;;;;;
GIOT-3;68,03;176,43;126,49;142,97;99,68;83,44;;;;;;;;;
DDX15;64,25;53,27;34,06;66,35;47,76;34,75;;;;;;;;;
UBE2D2;99,58;53,65;36,98;53,52;65,18;45,76;;;;;;;;;
FLJ20420;122,52;87,89;48,76;32,91;44,65;49,06;;;;;;;;;
MGC14595;81,51;144,52;129,51;125,23;100,28;89,97;;;;;;;;;
HSA249128;133,36;61,66;40,55;53,22;55,94;55,97;;;;;;;;;
FLNC;134,30;64,09;53,16;77,39;96,87;70,39;;;;;;;;;
ERCC5;109,82;101,48;113,57;134,03;138,52;150,20;;;;;;;;;
RYK;75,99;50,51;27,22;78,77;72,52;50,40;;;;;;;;;
PUM1;63,26;28,86;44,62;100,15;115,07;80,98;;;;;;;;;
TDG;47,70;95,54;92,24;142,26;142,13;95,98;;;;;;;;;
FLJ10769;74,63;106,53;115,54;147,45;114,19;73,07;;;;;;;;;
DKFZP564A2416;86,25;68,56;41,93;33,54;55,48;41,26;;;;;;;;;
AXL;165,42;82,48;69,44;52,11;74,14;57,79;;;;;;;;;
ARHE;37,42;128,04;75,68;76,21;132,91;89,69;;;;;;;;;
MGC5528;70,11;67,22;45,19;111,35;73,56;53,28;;;;;;;;;
FLJ12171;101,27;119,58;89,25;94,70;54,26;40,40;;;;;;;;;
CITED2;152,53;106,92;80,45;247,04;201,53;166,65;;;;;;;;;
DDX36;77,26;62,52;82,41;144,79;129,78;94,00;;;;;;;;;
BAIAP2;131,93;76,23;115,93;210,50;166,35;155,87;;;;;;;;;
CALM1;73,51;121,81;115,22;103,22;65,90;57,94;;;;;;;;;
MDS031;62,73;122,30;80,05;98,72;68,85;48,79;;;;;;;;;
